image_id,prediction_file,ground_truth_file,prediction_source_image,ground_truth_source_image,prediction_polygon_count,ground_truth_polygon_count,prediction_vertex_count,ground_truth_vertex_count,prediction_pixels,ground_truth_pixels,relative_area_error_pct,prediction_empty,ground_truth_empty,shape_aligned,prediction_shape,ground_truth_shape,tp,fp,fn,tn,precision,recall,f1_score,iou
20260210_P010_06-FEB_WT_PCBM_SUB_d04_TOP,20260210_P010_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P010_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,20260210_P010_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P010_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,0,0,0,0,95967,43598,120.1178953162989,False,False,True,1408x1408,1824x1824,0,95967,43598,1842899,0.0,0.0,0.0,0.0
20260210_P011_06-FEB_WT_PCBM_SUB_d04_TOP,20260210_P011_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P011_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,20260210_P011_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P011_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,0,0,0,0,107799,62263,73.13492764563225,False,False,True,1408x1408,1824x1824,61846,45953,417,1874248,0.5737158971790091,0.9933026034723672,0.7273347367430701,0.5715051378724033
20260210_P012_06-FEB_WT_PCBM_SUB_d04_TOP,20260210_P012_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P012_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,20260210_P012_06-FEB_WT_PCBM_SUB_d04_TOP.png,20260210_P012_06-FEB_WT_PCBM_SUB_d04_TOP.jpg,0,0,0,0,85703,50731,68.93615343675464,False,False,True,1408x1408,1824x1824,49641,36062,1090,1895671,0.5792212641331108,0.9785141235142221,0.727692510664497,0.5719470464207943
20260212_P001_06-FEB_WT_PCBM_SUB_d06_TOP,20260212_P001_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P001_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,20260212_P001_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P001_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,0,0,0,0,668138,422038,58.31228467578748,False,False,True,2419x2419,3024x3024,422038,246100,0,5183423,0.6316629199357019,1.0,0.7742566337912411,0.6316629199357019
20260212_P001_30JAN_WT_PCBM_CTRL_d11_TOP,20260212_P001_30JAN_WT_PCBM_CTRL_d11_TOP.png,20260212_P001_30JAN_WT_PCBM_CTRL_d11_TOP.jpg,20260212_P001_30JAN_WT_PCBM_CTRL_d11_TOP.png,20260212_P001_30JAN_WT_PCBM_CTRL_d11_TOP.jpg,0,0,0,0,1280070,1213229,5.509347369705142,False,False,False,1824x1824,1824x1824,1208717,71353,4512,2042394,0.9442585171123454,0.9962809988880912,0.9695724419734657,0.9409418783697732
20260212_P001_30JAN_WT_PCBM_CTRL_d13_TOP,20260212_P001_30JAN_WT_PCBM_CTRL_d13_TOP.png,20260212_P001_30JAN_WT_PCBM_CTRL_d13_TOP.jpg,20260212_P001_30JAN_WT_PCBM_CTRL_d13_TOP.png,20260212_P001_30JAN_WT_PCBM_CTRL_d13_TOP.jpg,0,0,0,0,2651745,1989869,33.262290130656844,False,False,True,2757x2757,3024x3024,1940038,711707,49831,4899473,0.7316080543189485,0.9749576479657706,0.8359325010653622,0.7181134271255001
20260212_P002_06-FEB_WT_PCBM_SUB_d06_TOP,20260212_P002_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P002_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,20260212_P002_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P002_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,0,0,0,0,877334,873990,0.3826130733761256,False,False,False,3024x3024,3024x3024,861823,15511,12167,8255075,0.9823203021882202,0.9860787880868203,0.9841959568874747,0.968883677477597
20260212_P003_06-FEB_WT_PCBM_SUB_d06_TOP,20260212_P003_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P003_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,20260212_P003_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P003_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,0,0,0,0,782739,763318,2.5442869158070422,False,False,False,3024x3024,3024x3024,757900,24839,5418,8356419,0.9682665613953054,0.9929020408270209,0.9804295701904909,0.9616104405594317
20260212_P004_06-FEB_WT_PCBM_SUB_d06_TOP,20260212_P004_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P004_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,20260212_P004_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P004_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,0,0,0,0,683163,656590,4.047122252851856,False,False,False,3024x3024,3024x3024,652449,30714,4141,8457272,0.9550414761923582,0.993693172299304,0.973984010485515,0.949287360469312
20260212_P005_06-FEB_WT_PCBM_SUB_d06_TOP,20260212_P005_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P005_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,20260212_P005_06-FEB_WT_PCBM_SUB_d06_TOP.png,20260212_P005_06-FEB_WT_PCBM_SUB_d06_TOP.jpg,0,0,0,0,1058529,1084743,2.4166092798017598,False,False,False,3024x3024,3024x3024,1048801,9728,35942,8050105,0.9908098880616403,0.9668658843615492,0.9786914586669353,0.9582720784744411
